date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_adjclose,lgchem_open,lgchem_close,lgchem_high,lgchem_low,lginnotek_open,lginnotek_close,lginnotek_high,lginnotek_low,compound,new_us_cases,new_us_deaths,new_ca_cases,new_ca_deaths
2018-08-02,65.688,69.998,64.632,69.908,69.908,116075000.0,63.78175999999989,1.2918435445337335,0.1618800691397421,50.145,52.095,50.0875,51.8475,50.377,374500.0,375000.0,378000.0,373000.0,164000.0,162500.0,166000.0,160000.0,0.0,0.0,0.0,0.0,0.0
2018-08-03,69.562,71.0,68.506,69.634,69.634,68282500.0,64.0581599999999,-0.41173810036614256,-0.003919436974309105,51.7575,52.185,51.37,51.9975,50.5227,375500.0,391000.0,391000.0,373500.0,165000.0,164000.0,165500.0,160500.0,0.0,0.0,0.0,0.0,0.0
2018-08-06,69.092,70.996,68.364,68.398,68.398,42821500.0,64.3147199999999,-0.372877384395709,-0.017749949737197405,52.0,52.3125,51.7675,52.2675,50.7851,391000.0,381000.0,393000.0,376500.0,163500.0,157500.0,165000.0,156000.0,0.0,0.0,0.0,0.0,0.0
2018-08-07,68.768,77.492,67.83,75.914,75.914,154379000.0,64.7175999999999,2.605174970517147,0.1098862539840347,52.33,52.375,51.69,51.7775,50.309,378000.0,383000.0,386000.0,375000.0,157500.0,157000.0,159500.0,154500.0,0.0,0.0,0.0,0.0,0.0
2018-08-08,73.818,76.528,73.424,74.068,74.068,122856000.0,65.06391999999991,-0.2041922800380881,-0.024316990278473057,51.5125,51.9525,51.13,51.8125,50.343,384000.0,376000.0,387500.0,376000.0,157000.0,153000.0,159000.0,152000.0,0.0,0.0,0.0,0.0,0.0
2018-08-09,73.11,73.402,69.146,70.49,70.49,85919000.0,65.30683999999991,-0.3006527967702025,-0.04830696117081605,52.3825,52.445,51.8,52.22,50.7389,375500.0,385000.0,385000.0,371000.0,153500.0,155500.0,155500.0,151000.0,0.0,0.0,0.0,0.0,0.0
2018-08-10,70.8,72.0,69.2,71.098,71.098,57760000.0,65.58987999999991,-0.32773891688683526,0.008625336927223778,51.84,52.275,51.6675,51.8825,50.5878,385000.0,375000.0,386500.0,369000.0,155000.0,149000.0,155500.0,147000.0,0.0,0.0,0.0,0.0,0.0
2018-08-13,72.226,72.638,69.804,71.282,71.282,52319500.0,65.8482399999999,-0.09419148199445983,0.002587977158288524,52.3275,52.7375,51.925,52.2175,50.9144,374500.0,368000.0,376500.0,366500.0,146500.0,146500.0,150000.0,143500.0,0.0,0.0,0.0,0.0,0.0
2018-08-14,71.69,71.84,69.42,69.528,69.528,34932000.0,66.0518399999999,-0.3323330689322337,-0.024606492522656363,52.54,52.64,52.065,52.4375,51.1289,368500.0,373000.0,374500.0,367500.0,147000.0,146000.0,149000.0,139500.0,0.0,0.0,0.0,0.0,0.0
2018-08-15,68.382,68.898,66.428,67.738,67.738,45506500.0,66.2420799999999,0.3027167067445322,-0.025745023587619466,52.305,52.685,52.0825,52.56,51.2484,366250.0,370250.0,374000.0,364500.0,146250.0,146250.0,148000.0,140500.0,0.0,0.0,0.0,0.0,0.0
