,Link,Date,Headline,neg,neu,pos,compound
69,https://www.investing.com/news/stock-market-news/stocks--wall-street-opens-lower-on-virus-fears-airlines-hit-2063920,2020-01-21,Stocks - Wall Street Opens Lower on Virus Fears; Airlines Hit By Investing.com,0.081,0.843,0.076,-0.3269
70,https://www.investing.com/news/stock-market-news/honda-to-join-white-house-initiative-to-boost-us-job-training-2063977,2020-01-21,Honda to join White House initiative to boost U.S. job training By Reuters,0.041,0.883,0.076,0.4019
71,https://www.investing.com/news/stock-market-news/the-greta-and-trump-show--davos-highlights-on-tuesday-2064158,2020-01-21,The Greta and Trump show - Davos highlights on Tuesday By Reuters,0.041,0.851,0.108,0.984
72,https://www.investing.com/news/stock-market-news/apple-lawsuit-tests-if-an-employee-can-plan-rival-startup-while-on-payroll-2063648,2020-01-21,Apple lawsuit tests if an employee can plan rival startup while on payroll By Reuters,0.052,0.861,0.086,0.9502
73,https://www.investing.com/news/stock-market-news/exclusive-apple-dropped-plan-for-encrypting-backups-after-fbi-complained--sources-2063709,2020-01-21,Exclusive: Apple dropped plan for encrypting backups after FBI complained - sources By Reuters,0.046,0.921,0.033,-0.9417
74,https://www.investing.com/news/stock-market-news/stocks--sp-falls-as-us-coronavirus-scare-sours-sentiment-2064272,2020-01-21,Stocks - S&P Falls as U.S Coronavirus Scare Sours Sentiment By Investing.com,0.061,0.881,0.057,-0.2023
75,https://www.investing.com/news/stock-market-news/netflix-earnings-beat-in-q4--but-weaker-outlook-points-to-rising-competition-2064278,2020-01-21,"Netflix Earnings Beat in Q4,  but Weaker Outlook Points to Rising Competition By Investing.com",0.045,0.828,0.127,0.9888
76,https://www.investing.com/news/stock-market-news/trump-to-break-bread-with-apples-cook-and-other-ceos-sources-2064413,2020-01-22,Trump to break bread with Apple's Cook and other CEOs: sources By Reuters,0.0,0.944,0.056,0.8442
77,https://www.investing.com/news/technology-news/netflix-subscriber-addition-beats-expectations-in-fourth-quarter-2064295,2020-01-22,Netflix forecasts tough start to 2020; Disney+ going global By Reuters,0.017,0.878,0.105,0.9958
78,https://www.investing.com/news/stock-market-news/china-companies-issue-staff-with-masks-travel-warnings-as-virus-outbreak-fears-grow-2064652,2020-01-22,"China companies issue staff with masks, travel warnings as virus outbreak fears grow By Reuters",0.041,0.91,0.049,0.7311
79,https://www.investing.com/news/stock-market-news/aramco-international-listing-still-on-the-cards-minister-says-2064653,2020-01-22,"Aramco International Listing ‘Still on the Cards,’ Minister Says By Bloomberg",0.0,0.904,0.096,0.9412
80,https://www.investing.com/news/economy/trump-hails-musk-very-disappointed-in-boeing-davos-update-2064707,2020-01-22,"Trump Hails Musk, ‘Very Disappointed’ in Boeing: Davos Update By Bloomberg",0.065,0.819,0.116,0.999
81,https://www.investing.com/news/stock-market-news/stocks--jj-boeing-netflix-fall-in-premarket-after-updates-2064880,2020-01-22,"Stocks - J&J, Boeing, Netflix Fall in Premarket After Updates By Investing.com",0.019,0.922,0.059,0.765
82,https://www.investing.com/news/technology-news/sonos-customers-up-in-arms-over-move-to-stop-updates-for-older-speakers-2064881,2020-01-22,Sonos customers up in arms over move to stop updates for older speakers By Reuters,0.058,0.882,0.06,-0.413
83,https://www.investing.com/news/technology-news/wall-street-analysts-buy-into-netflix-optimism-amid-disney-threat-2065144,2020-01-22,Wall Street analysts buy into Netflix optimism amid Disney threat By Reuters,0.046,0.886,0.069,0.4118
